Station_ID,Name,Address,Latitude,Longitude,Regular_Price,Plus_Price,Premium_Price,Scrape_Date
circle-k-|-gas-station,Circle K | Gas Station,"El Paso, TX 79925",,,,,,5/30/2026
windstar-gas-station,Windstar Gas Station,"El Paso, TX 79901",,,,,,5/30/2026
dk-gas-station,DK Gas Station,"El Paso, TX 79912",,,4.02,,,5/30/2026
chevron,Chevron,"El Paso, TX 79924",,,4.6,,,5/30/2026
speedway,Speedway,"El Paso, TX 79925",,,,,,5/30/2026
flyers,Flyers,"El Paso, TX 79901",,,,,,5/30/2026
in-n-out-gas-station,In-N-Out Gas Station,"El Paso, TX 79901",,,,,,5/30/2026
alon-gas-station,ALON Gas Station,"El Paso, TX 79925",,,3.95,,,5/30/2026
mesa-hills-valero,Mesa Hills Valero,"El Paso, TX 79912",,,4.16,,,5/30/2026
circle-k-gas-station,Circle K Gas Station,"El Paso, TX 79936",,,3.85,,,5/30/2026
murphy-usa,Murphy USA,"El Paso, TX 79936",,,3.82,,,5/30/2026
valero,Valero,"El Paso, TX 79936",,,3.86,,,5/30/2026
circle-k-|-gas-station,Circle K | Gas Station,"El Paso, TX 79938",31.745064,-106.4639476,,,,5/31/2026
windstar-gas-station,Windstar Gas Station,"El Paso, TX 79934",31.818696,-106.659685,,,,5/31/2026
dk-gas-station,DK Gas Station,"El Paso, TX 79936",31.7416774,-106.4256875,4.0,,,5/31/2026
speedway,Speedway,"El Paso, TX 79938",31.779059,-106.5360634,,,,5/31/2026
in-n-out-gas-station,In-N-Out Gas Station,"El Paso, TX 79935",31.813356,-106.6059946,,,,5/31/2026
flyers,Flyers,"El Paso, TX 79935",31.7737337,-106.6441404,,,,5/31/2026
chevron-howdy's,Chevron Howdy's,"El Paso, TX 79934",31.818696,-106.659685,4.4,,,5/31/2026
valero,Valero,"El Paso, TX 79938",31.7537884,-106.4625185,3.8,,,5/31/2026
alon-gas-station,ALON Gas Station,"El Paso, TX 79938",31.7571875,-106.4733887,3.92,,,5/31/2026
chevron,Chevron,"El Paso, TX 79934",31.9236188,-106.5844405,4.6,,,5/31/2026
parking,parking,"El Paso, TX 79901",31.7618778,-106.5210706,,,,5/31/2026
tahsin-aslan-cumhuriyeti,Tahsin Aslan Cumhuriyeti,"El Paso, TX 79901",31.7576291,-106.5146604,,,,5/31/2026
ram,Ram,"El Paso, TX 79901",31.7576291,-106.5146604,,,,5/31/2026
texaco-service-station-(former),Texaco Service Station (Former),"El Paso, TX 79934",31.7859338,-106.6064318,,,,5/31/2026
circle-k,Circle K,"El Paso, TX 79936",31.7769866,-106.338836,3.85,,,5/31/2026
quick-mart,Quick Mart,"El Paso, TX 79901",31.7547176,-106.5271964,4.4,,,5/31/2026
